image_id,class_name,x_min,y_min,x_max,y_max
e0dc2e79105ad93532484e956ef8a71a,Calcification,218.37961575146485,104.9780496736852,240.1427987464232,124.29512284441692
e0dc2e79105ad93532484e956ef8a71a,Cardiomegaly,114.18013353317897,208.00243991758765,321.9196075759641,307.5146350395389
e0dc2e79105ad93532484e956ef8a71a,ILD,302.79438615615203,220.88048869807542,345.00177135849583,308.1000008931975
e0dc2e79105ad93532484e956ef8a71a,Pneumothorax,71.49480272178435,23.135727469083903,181.73860613439624,80.9475504017232
e0dc2e79105ad93532484e956ef8a71a,Pneumothorax,59.76327966477791,78.34907225195504,81.00924901970178,118.13699219513438
e0dc2e79105ad93532484e956ef8a71a,Pleural effusion,41.11297479631505,235.1925493582997,115.20900537065422,308.7394277998831
e0dc2e79105ad93532484e956ef8a71a,Atelectasis,67.80348043330818,198.0655193757695,90.11196275676517,238.02127545220665
e0dc2e79105ad93532484e956ef8a71a,Pneumothorax,50.673752934939465,219.28096508007246,74.17733252572447,245.44668144871272
0aed23e64ebdea798486056b4f174424,Pleural effusion,265.50836310902764,251.39918202511905,360.7250012741888,305.1938928528936
0aed23e64ebdea798486056b4f174424,Pleural effusion,27.010180864348094,234.29027905360897,146.90214255968849,297.207904676787
0aed23e64ebdea798486056b4f174424,Infiltration,52.60023394867494,144.49451669781268,154.87469684023927,234.86629984441802
0aed23e64ebdea798486056b4f174424,Consolidation,75.66359899862607,181.98550452030915,145.17117375405638,231.81228282813447
aa15cfcfca7605465ca0513902738b95,Pulmonary fibrosis,115.14483980605678,64.05918941117287,159.64619376465623,117.8279456451726
aa15cfcfca7605465ca0513902738b95,Pleural thickening,230.0774705022822,45.36951478438151,265.46831105203455,53.42045154669163
aa15cfcfca7605465ca0513902738b95,Pleural thickening,94.12057809333261,58.59605375103384,127.75939683369128,74.98546073145087
665c4a6d2693dc0286d65ab479c9b169,Nodule/Mass,51.86803005633857,152.8113440197287,106.67771184881904,189.27003699136864
665c4a6d2693dc0286d65ab479c9b169,ILD,51.30298179043668,139.55363748458691,132.10488381440274,266.92231812577063
42da2c134b53cb5594774d3d29faac59,Aortic enlargement,167.47664299533622,72.4916262624456,262.83714509682886,168.99333968833096
42da2c134b53cb5594774d3d29faac59,Calcification,221.44439967914792,107.58315841731297,238.7350401700779,130.39265431797676
42da2c134b53cb5594774d3d29faac59,Cardiomegaly,99.36199863712727,185.66181746189298,339.33513029912496,269.8814946335747
c7179539654a1b3b7977e56e7e3009d5,Aortic enlargement,128.1932334510075,98.83353884093711,223.61596540715834,173.17139334155362
c7179539654a1b3b7977e56e7e3009d5,Cardiomegaly,89.1044034930662,191.1639950678175,290.2969106295288,274.02466091245367
bfd1974dc9778aadb407a11b57ab748f,Aortic enlargement,147.015281098947,104.98890258939582,254.20109280145604,194.95191122071512
618777b8305b062583337d9a6b7a3d4e,Other lesion,58.225137153424086,236.35375562228876,169.96761791675684,276.5168983357211
618777b8305b062583337d9a6b7a3d4e,ILD,123.33129330065512,199.2217934910022,161.65619372774856,239.38493620443458
618777b8305b062583337d9a6b7a3d4e,Calcification,213.86629995994298,138.48794528842438,228.5832431211783,158.61523243760354
e54b5a593bc03c789ecdc18d8270964e,Aortic enlargement,156.63682990023872,139.8464497908837,234.16632754957348,194.1578746366748
e54b5a593bc03c789ecdc18d8270964e,Calcification,204.70281704918642,159.59331169276157,217.3915466439807,173.07930847761958
e54b5a593bc03c789ecdc18d8270964e,ILD,49.267899979645534,153.52107392782665,123.14986970197488,285.7866473521561
e54b5a593bc03c789ecdc18d8270964e,ILD,240.165243713063,166.53656918500795,319.59903774978704,294.22913076221965
3019aec706bd013e1e3348564fbfd086,Nodule/Mass,103.02032318201768,142.21029796269994,133.0447365947562,170.4096367141257
3019aec706bd013e1e3348564fbfd086,Pulmonary fibrosis,136.66213580111022,143.39763854170738,156.55783143605743,160.02040664781097
3019aec706bd013e1e3348564fbfd086,Pulmonary fibrosis,256.9496543147337,111.882603371673,294.87399836773506,156.46187393202382
3019aec706bd013e1e3348564fbfd086,Nodule/Mass,290.05809113126577,195.23329994212204,321.39087542092716,234.9683811935601
3019aec706bd013e1e3348564fbfd086,Pleural thickening,253.80528286223617,101.31401698417741,298.8623445680301,118.31298222543437
3019aec706bd013e1e3348564fbfd086,Pleural thickening,240.95948859893457,101.04946056375273,257.54809436000426,130.8491721741788
3019aec706bd013e1e3348564fbfd086,Nodule/Mass,283.837138444758,144.38642883659656,299.77926944461365,155.95873038638098
3019aec706bd013e1e3348564fbfd086,Nodule/Mass,282.6108206755383,154.4492997494526,318.17403598290866,180.10962057723546
3019aec706bd013e1e3348564fbfd086,Mediastinal shift,213.32386671462717,94.07207427231647,252.56603532965653,172.56246739259345
efbe54fcf4bdab5041ecdf15af5fcd52,Calcification,154.5662829083697,129.82090967768616,168.50294862516424,148.40313063341222
efbe54fcf4bdab5041ecdf15af5fcd52,Calcification,70.28263785918365,235.009553302064,78.57827221441849,243.96883840571763
40497da14aafc428210b623fc8445288,Cardiomegaly,132.35959324289666,238.75675487150096,340.2239520875069,315.8532799680261
40497da14aafc428210b623fc8445288,Aortic enlargement,164.84306373050325,131.51804786392404,262.60803430069166,204.42944026898735
934e2731a86f3a6d750f7f7d9eaea85c,Pleural effusion,20.58940961512919,221.70747897659027,141.9407952560679,297.9330139543522
934e2731a86f3a6d750f7f7d9eaea85c,Pulmonary fibrosis,92.59989902627517,81.70412492378952,123.45944998979923,117.12988417869248
934e2731a86f3a6d750f7f7d9eaea85c,Lung Opacity,102.3273661778208,76.24631346786578,160.19260550684808,127.73175373672913
934e2731a86f3a6d750f7f7d9eaea85c,Lung Opacity,95.6187681422721,170.65639633756047,154.81326657023016,202.4970111939393
934e2731a86f3a6d750f7f7d9eaea85c,Atelectasis,73.97953521552897,205.05184991081228,158.20806413481702,226.82531735210094
91123b24b8a4c289820bbb2dc6dabdfe,Cardiomegaly,130.93642933713343,209.9448955772713,339.93964871396776,273.2783329762442
91123b24b8a4c289820bbb2dc6dabdfe,Aortic enlargement,178.5143979757624,93.07545860900102,259.65182663628144,156.75880450189084
688ecdb1a4e994d42b5a50a8c4a9736f,Cardiomegaly,124.7881274131274,176.20656491011096,310.7881274131274,279.42576491011096
5c55f871429730b84a8ee275839b8aae,No finding,,,,
bf754344a692a87c08c480dccf75e0c6,Calcification,228.6169761507268,120.2223494881376,237.2723437068301,131.99364936443806
bf754344a692a87c08c480dccf75e0c6,Pleural thickening,85.63030412390083,231.7034836107477,104.67211274732801,273.94167728453164
bf754344a692a87c08c480dccf75e0c6,Pleural thickening,311.0160752848299,225.4716189703533,323.4798045656186,265.97873913291664
bf754344a692a87c08c480dccf75e0c6,Pleural effusion,293.8378378378378,243.7084923232384,338.8378378378378,268.7084923232384
bf754344a692a87c08c480dccf75e0c6,Pleural effusion,70.83783783783781,257.7084923232384,131.8378378378378,277.2084923232384
6cbbbc0e77251e60d6f4af673cc19e2a,Pleural effusion,36.56650386414541,188.90010345299763,130.75143107638155,225.60253927209254
6cbbbc0e77251e60d6f4af673cc19e2a,Pulmonary fibrosis,223.5870040305627,163.20839837963118,273.24324072698516,189.76369017815287
6cbbbc0e77251e60d6f4af673cc19e2a,Aortic enlargement,159.08787049553564,113.33626500191994,213.60178252095596,149.82280413972603
6cbbbc0e77251e60d6f4af673cc19e2a,Cardiomegaly,125.5567911124437,174.3197965467849,288.63335326501715,224.3096212066392
6cbbbc0e77251e60d6f4af673cc19e2a,Atelectasis,45.48662774138528,171.68693859484208,103.94877727366045,190.7689842021767
9b609fc8e82081f4ac5bf83b8a0fbc5c,Aortic enlargement,169.05692783950673,105.1321614987943,241.69543263739862,173.30158237489357
9b609fc8e82081f4ac5bf83b8a0fbc5c,Cardiomegaly,129.81543674179503,202.07661430249325,315.1688627777951,267.16299604349257
9b609fc8e82081f4ac5bf83b8a0fbc5c,Consolidation,75.15965844281122,179.3807639660345,136.95733328923654,226.20837887388097
31b4de538dd6272b05e295142c5ccc2a,Aortic enlargement,181.20396130879493,82.57036387738421,244.08287420666414,136.74296575862545
31b4de538dd6272b05e295142c5ccc2a,Other lesion,74.49582999976694,123.66051920682645,143.66597712269336,182.25170265212884
9262bfe5dc41410f1725ebdd26a22334,Cardiomegaly,184.81420849420851,190.56747301821915,310.7662084942085,256.6154730182191
97f0ad3b3ccbfc848bf9cc7e1a76377c,Cardiomegaly,123.62059100807994,221.95131046560846,337.3192211450662,314.5662611003052
97f0ad3b3ccbfc848bf9cc7e1a76377c,Consolidation,282.7438786793128,213.28558409043217,351.1274403231484,263.1135107476959
97f0ad3b3ccbfc848bf9cc7e1a76377c,Consolidation,76.93565950123063,217.0768393795718,158.46990607657307,303.73410313133485
